Species,Replicate,Date_left_traits,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass),Date_plant_traits,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no),Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm),Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre)),Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio,leaf_mass_fraction,leaf_mass_to_stem_mass,Life form (1 = phanerophytes; 2 = chamaephytes; 3 = hemicryptophytes; 4 = geophytes; 5 = therophytes),"N-fixation (0=N, 1=Y)","Photosynthetic pathway (1=C3, 2=C4, 3=CAM,)",Specific Root Area (SRA) (m2.kg-1),Root Dry Matter Content (RDMC),B (root biomass depth distribution coefficient (Gale and Grigal 1987)),Diameter thickest root (mm),tap_root2
Holcus lanatus,3,17/10/2005,74,0.0773,11.85,0.5,554.87,33027.97619,256.09,0.0168,0.217335058,13/12/2005,28.2,34.5,0.46,115,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.579,3.269,3.848,0.142931393,0.13165075034106413,0.15046777546777546,NA,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle laxiflora,1,20/09/2005,NA,0.0509,1.9,1.8,224.32,20579.81651,84.772,0.0109,0.214145383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,0.148,0,0.148,1.385135135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle laxiflora,2,21/09/2005,NA,0.0984,2.6,2.3,352.01,16073.51598,100.19,0.0219,0.222560976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241,0.209,0,0.209,1.153110048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle laxiflora,3,21/09/2005,NA,0.104,2.9,2.8,435.92,23820.76503,119.5,0.0183,0.175961538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171,0.091,0,0.091,1.879120879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum graminium,1,17/10/2005,72,0.0027,0.9,0.328,20.81,26012.5,20.806,8e-4,0.296296296,17/10/2005,9.1,14.7,1.97,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,0.064,0.103,0.167,0.269461078,0.3018867924528302,0.3832335329341317,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum graminium,2,17/10/2005,46,0.0037,1.05,0.391,28.029,28029,33.332,0.001,0.27027027,17/10/2005,8.7,3.9,1.16,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.0232,0.0104,0.0336,0.595238095,0.4328358208955224,0.6904761904761905,NA,NA,NA,NA,NA,NA,NA,NA
Hypericum graminium,3,24/10/2005,78,0.0051,1.15,0.4,31.168,20778.66667,32.531,0.0015,0.294117647,24/10/2005,7.5,2.8,1.32,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161,0.0283,0.0108,0.0391,0.411764706,0.5126811594202898,0.7237851662404091,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris glabra,1,27/09/2005,6,0.0473,2.2,0.9,119.8,28523.80952,54.751,0.0042,0.088794926,27/09/2005,1.1,3.6,2.17,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.027,0,0.027,0.259259259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris glabra,2,28/09/2005,19,0.0646,2.2,1.1,164.51,30464.81481,56.594,0.0054,0.083591331,28/09/2005,1.9,4.5,2.01,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,0.051,0,0.051,0.254901961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris glabra,3,28/09/2005,14,0.0947,2.8,1.3,253.42,33344.73684,70.591,0.0076,0.080253432,28/09/2005,1.5,4.4,1.71,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.053,0,0.053,0.169811321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,1,20/09/2005,NA,0.2912,6,1.8,660.56,24285.29412,165.13,0.0272,0.093406593,20/09/2005,1.3,9.1,4.92,1,yes,0.0694,234.84,1408.1,0.0123,0.177233429,6.030813008,68.2096,5545,2.3612,7.4179,0.0346,0.064,71,97,0.537170264,0.46,0.456,0,0.456,1.00877193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,2,20/09/2005,NA,0.1666,4.6,1.4,424.61,19749.30233,153.36,0.0215,0.129051621,20/09/2005,1.6,5.7,5.27,1,yes,0.06,178.64,986.95,0.0124,0.206666667,4.538064516,47.3985,3822,1.7912,5.6272,0.0378,0.053,78,147,0.316831683,0.242,0.154,0.009,0.163,1.484662577,0.38024691358024687,0.9447852760736196,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,3,20/09/2005,NA,0.2426,5.4,1.3,434.69,12455.30086,139.41,0.0349,0.143858203,20/09/2005,1,9.2,6.39,1,yes,0.1242,560.41,3016.9,0.0158,0.127214171,11.34208861,191.6804,12132,5.7043,17.9205,0.0298,0.133,114,370,1.094191523,0.343,0.462,0,0.462,0.742424242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,4,21/09/2005,NA,0.1094,4,1,288.49,21529.10448,105.05,0.0134,0.122486289,21/09/2005,1.8,9.6,6.1,3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855,0.439,0,0.439,1.9476082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris radicata,5,21/09/2005,NA,0.2293,4.4,1.6,462.3,15941.37931,123.23,0.029,0.126471871,21/09/2005,3,7,5.42,5,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,0.236,0.031,0.267,0.692883895,0.5221238938053097,0.8838951310861423,NA,NA,NA,NA,NA,NA,NA,NA
Joycea pallida,1,10/10/2005,78,0.1819,39.4,0.169,486.51,4496.395564,826.56,0.1082,0.594832325,1/10/2005,73.8,71.2,2.24,570,no,0.148,516.11,2158,0.0439,0.296621622,3.736651481,111.2149,2533,5.2215,16.4039,0.048,0.197,312,598,0.794895169,61.184,70.564,382.195,452.759,0.135135911,0.1372992724874159,0.15585333477633795,NA,NA,NA,NA,NA,NA,NA,NA
Joycea pallida,2,10/10/2005,76,0.3445,51.3,0.247,713.58,4375.107296,1062.7,0.1631,0.473439768,3/10/2005,68.5,57.5,3.09,582,no,0.1064,580.81,3437.1,0.0286,0.268796992,6.540804196,167.575,5859,5.9545,18.7067,0.036,0.168,486,822,1.266487214,67.718,49.289,178.672,227.961,0.297059585,0.1666976687556438,0.21621680901557722,NA,NA,NA,NA,NA,NA,NA,NA
Joycea pallida,3,10/10/2005,68,0.1276,22.1,0.263,281.86,4769.204738,458.31,0.0591,0.463166144,9/10/2005,54.3,41.7,1.55,193,no,0.1914,911.82,4869.6,0.0461,0.240856844,6.350412148,267.9059,5811,9.3186,29.2754,0.0349,0.256,701,1583,1.095159967,13.694,20.274,85.733,106.007,0.129180148,0.16937201861304416,0.1912515211259634,NA,NA,NA,NA,NA,NA,NA,NA
Joycea pallida,4,10/10/2005,57,0.1094,29.5,0.127,289.41,5131.382979,615.69,0.0564,0.515539305,10/10/2005,65.8,73.5,2.38,1030,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.734,68.143,228.508,296.651,0.380022316,0.16645211720019054,0.22970763624595905,NA,NA,NA,NA,NA,NA,NA,NA
Joycea pallida,5,10/10/2005,62,0.1907,32.6,0.218,518,5899.77221,751.78,0.0878,0.460409019,10/10/2005,46.8,57.6,2.47,150,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.04,20.197,48.745,68.942,0.218154391,0.2404920101926603,0.29295639813176294,NA,NA,NA,NA,NA,NA,NA,NA
Liniaria pelisserana,1,15/10/2005,48,0.0081,1.2,0.271,23.62,18169.23077,26.481,0.0013,0.160493827,21/10/2005,9.2,1.4,0.85,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.0021,0.0102,0.0123,0.203252033,0.14189189189189189,0.17073170731707316,NA,NA,NA,NA,NA,NA,NA,NA
Liniaria pelisserana,2,15/10/2005,63,0.0047,1.4,0.115,15.656,19570,29.675,8e-4,0.170212766,21/10/2005,10.3,0.7,0.65,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.0019,0.0493,0.0512,0.03125,0.03598484848484849,0.037109375,NA,NA,NA,NA,NA,NA,NA,NA
Liniaria pelisserana,3,21/10/2005,70,0.003,1.1,0.119,10.186,25465,22.656,4e-4,0.133333333,24/10/2005,16.8,2.4,1.28,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,0.0165,0.0694,0.0859,0.19790454,0.16034985422740525,0.1920838183934808,NA,NA,NA,NA,NA,NA,NA,NA
Lolium rigidum,1,13/10/2005,84,0.0833,15.1,0.5,513.79,33581.04575,317.64,0.0153,0.183673469,13/10/2005,32.8,8.5,0.61,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.102,0.022,0.124,0.282258065,0.6415094339622641,0.8225806451612903,NA,NA,NA,NA,NA,NA,NA,NA
Lolium rigidum,2,15/10/2005,57,0.0945,11.6,0.53,457.89,17543.67816,246.93,0.0261,0.276190476,15/10/2005,19.5,16.2,0.57,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,0.368,0.002,0.37,0.248648649,0.7965367965367965,0.9945945945945945,NA,NA,NA,NA,NA,NA,NA,NA
Lolium rigidum,3,17/10/2005,69,0.0366,7.75,0.412,210.53,19493.51852,164.97,0.0108,0.295081967,17/10/2005,16.2,14.6,0.6,14,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.086,0,0.086,0.26744186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lomandra filiformis,1,13/10/2005,58,0.3217,21.6,0.35,662.36,5170.647931,485.23,0.1281,0.398197078,24/10/2005,10.5,15.7,3.27,10,no,0.1849,336.69,1442.1,0.0306,0.165494862,3.464281046,66.8316,2184,3.3743,10.6007,0.0505,0.134,66,92,0.444924406,0.776,0.906,0.304,1.21,0.641322314,0.4561933534743203,0.7487603305785124,NA,NA,NA,NA,NA,NA,NA,NA
Lomandra filiformis,2,13/10/2005,73,0.198,12.7,0.372,411.18,5107.826087,292.71,0.0805,0.406565657,24/10/2005,13.7,16.1,3.23,1,yes,0.1865,310.36,1222.5,0.044,0.235924933,2.216181818,59.414,1350,3.1039,9.7512,0.0527,0.128,93,134,0.268509378,0.274,0.815,0.195,1.01,0.271287129,0.6347352024922118,0.8069306930693069,NA,NA,NA,NA,NA,NA,NA,NA
Lomandra filiformis,3,15/10/2005,78,0.301,12.5,0.45,564.51,4570.931174,324.48,0.1235,0.410299003,27/10/2005,10.3,15.8,3.3,9,no,0.1233,390.6,1971,0.0316,0.256285483,3.92056962,99.487,3148,3.9436,12.389,0.0396,0.123,111,198,1.018092105,1.883,1.591,0.132,1.723,1.092861288,0.44120909595119245,0.9233894370284387,NA,NA,NA,NA,NA,NA,NA,NA
Lomandra filiformis,4,15/10/2005,56,0.1434,13.8,0.289,381.15,6258.62069,300.68,0.0609,0.424686192,28/10/2005,20.3,25.3,5.17,3,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.907,3.124,0.998,4.122,0.705240175,0.4444444444444445,0.7578845220766619,NA,NA,NA,NA,NA,NA,NA,NA
Lomandra filiformis,5,17/10/2005,60,0.1145,11.3,0.288,294.31,6454.166667,254.67,0.0456,0.398253275,28/10/2005,14.6,16.1,3.22,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533,1.779,0.12,1.899,0.280674039,0.7314967105263158,0.9368088467614534,NA,NA,NA,NA,NA,NA,NA,NA
Luzula merionalis,1,1/10/2005,46,0.0555,5.7,0.6,242.36,21834.23423,126.01,0.0111,0.2,1/10/2005,6.9,13.9,0.27,270,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.752,0.554,0.101,0.655,2.67480916,0.23016202742002495,0.8458015267175573,NA,NA,NA,NA,NA,NA,NA,NA
Luzula merionalis,2,3/10/2005,26,0.1,6.8,0.8,363.06,18714.43299,152.06,0.0194,0.194,3/10/2005,4.2,10.4,0.31,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0.314,0.075,0.389,4.061696658,0.15947181310309802,0.8071979434447301,NA,NA,NA,NA,NA,NA,NA,NA
Luzula merionalis,3,3/10/2005,54,0.0176,4.6,0.3,101.76,24228.57143,97.346,0.0042,0.238636364,3/10/2005,6,7.8,0.3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.068,0,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melichrus urceolatus,1,5/12/2005,65,0.019,1.8,0.426,35.871,6293.157895,29.203,0.0057,0.3,13/12/2005,36.5,65.5,12.44,11,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.45,12.934,23.979,36.913,1.177092081,0.16094471336311486,0.3503914610028987,NA,NA,NA,NA,NA,NA,NA,NA
Melichrus urceolatus,2,5/12/2005,66,0.0099,1.5,0.389,34.437,6377.222222,32.35,0.0054,0.545454545,13/12/2005,31.7,23.5,10.42,7,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.616,6.584,9.8171,16.4011,2.537390785,0.11348378322942718,0.4014364890159806,NA,NA,NA,NA,NA,NA,NA,NA
Melichrus urceolatus,3,5/12/2005,68,0.0066,1.15,0.344,24.466,7413.939394,25.833,0.0033,0.5,13/12/2005,21.6,42,10.87,4,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.355,13.676,15.101,28.777,0.707335719,0.2783521940893918,0.4752406435695173,NA,NA,NA,NA,NA,NA,NA,NA
Microlaena stipoides,1,20/09/2005,NA,0.0203,3.3,0.5,149.19,21312.85714,81.046,0.007,0.344827586,20/09/2005,4.2,9.4,1.16,94,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.385,0.598,0.679,1.277,1.867658575,0.1632987438558165,0.4682850430696946,NA,NA,NA,NA,NA,NA,NA,NA
Microlaena stipoides,2,20/09/2005,NA,0.0176,3.7,0.35,115.75,16535.71429,85.448,0.007,0.397727273,20/09/2005,4.4,9.9,0.99,57,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503,0.224,0.55,0.774,1.941860465,0.09837505489679402,0.28940568475452194,NA,NA,NA,NA,NA,NA,NA,NA
Microlaena stipoides,3,21/09/2005,NA,0.0146,2.8,0.35,94.796,17554.81481,64.579,0.0054,0.369863014,21/09/2005,3.8,10.9,1.15,63,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.675,0.19,0.59,0.78,2.147435897,0.07739307535641547,0.24358974358974358,NA,NA,NA,NA,NA,NA,NA,NA
Microlaena stipoides,4,21/09/2005,NA,0.0267,4.2,0.4,155.66,15411.88119,92.566,0.0101,0.378277154,21/09/2005,3.1,12.4,0.8,77,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689,0.333,0.36,0.693,2.437229437,0.1397984886649874,0.48051948051948057,NA,NA,NA,NA,NA,NA,NA,NA
Microlaena stipoides,5,21/09/2005,NA,0.0314,4.5,0.5,192.11,16851.75439,97.804,0.0114,0.363057325,21/09/2005,4.6,13.2,1.27,125,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.996,0.769,1.68,2.449,1.631686403,0.11931730023273855,0.3140057166190282,NA,NA,NA,NA,NA,NA,NA,NA
Moenchia erectus,1,24/10/2005,68,0.0037,1,0.268,17.692,29486.66667,23.968,6e-4,0.162162162,24/10/2005,6.5,1.8,0.47,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.0026,0.0174,0.02,0.08,0.12037037037037036,0.13,NA,NA,NA,NA,NA,NA,NA,NA
Moenchia erectus,2,28/10/2005,16,0.0035,1,0.29,18.502,30836.66667,23.32,6e-4,0.171428571,27/10/2005,9,3.4,0.19,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.005,0.0199,0.0249,0.040160643,0.19305019305019305,0.20080321285140565,NA,NA,NA,NA,NA,NA,NA,NA
Moenchia erectus,3,28/10/2005,42,0.0041,1.2,0.258,20.416,25520,28.458,8e-4,0.195121951,28/10/2005,5.9,1.3,0.32,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-4,0.0013,0.0155,0.0168,0.047619048,0.07386363636363637,0.07738095238095238,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis discolor,1,28/10/2005,28,0.0264,2.6,0.6,116.06,41450,59.135,0.0028,0.106060606,28/10/2005,10.7,5.1,0.94,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0053,0.034,0.044,0.078,0.067948718,0.40816326530612246,0.4358974358974359,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis discolor,2,28/10/2005,35,0.0085,1.65,0.35,44.423,40384.54545,35.702,0.0011,0.129411765,28/10/2005,10.7,4.4,0.78,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023,0.017,0.016,0.033,0.06969697,0.481586402266289,0.5151515151515151,NA,NA,NA,NA,NA,NA,NA,NA
Myosotis discolor,3,28/10/2005,17,0.0142,2,0.4,67.591,35574.21053,44.901,0.0019,0.133802817,28/10/2005,10.3,3.8,0.82,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055,0.022,0.062,0.084,0.06547619,0.24581005586592175,0.26190476190476186,NA,NA,NA,NA,NA,NA,NA,NA
Nassella trichotoma,1,30/09/2005,73,0.0133,12.3,0.076,62.107,10895.96491,256.32,0.0057,0.428571429,30/09/2005,33.5,42,0.86,666,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.314,11.845,25.776,37.621,0.486802584,0.21176365424153035,0.3148507482523059,NA,NA,NA,NA,NA,NA,NA,NA
Nassella trichotoma,2,30/09/2005,83,0.0104,12.8,0.051,57.778,11555.6,256.99,0.005,0.480769231,30/09/2005,23.4,15.8,0.73,87,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.567,0.859,1.748,2.607,0.601074031,0.20579779587925248,0.32949750671269656,NA,NA,NA,NA,NA,NA,NA,NA
Nassella trichotoma,3,30/09/2005,74,0.0211,17.5,0.073,103.17,11463.33333,367.57,0.009,0.426540284,30/09/2005,23.2,25.6,0.74,465,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21,4.641,13.193,17.834,0.572501963,0.16548994437312795,0.26023326230795113,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis perennans,1,30/09/2005,65,0.0209,1.5,0.9,84.745,32594.23077,96.946,0.0026,0.124401914,30/09/2005,2.3,3.7,2.03,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118,0.064,0,0.064,1.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis perennans,2,30/09/2005,37,0.0078,1.5,0.85,56.444,47036.66667,87.359,0.0012,0.153846154,30/09/2005,2.9,8,3.87,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,0.094,0.025,0.119,1.638655462,0.29936305732484075,0.7899159663865547,NA,NA,NA,NA,NA,NA,NA,NA
Oxalis perennans,3,1/10/2005,59,0.009,1.1,0.6,56.573,51430,81.282,0.0011,0.122222222,1/10/2005,5.8,11.5,0.88,3,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265,0.068,0.061,0.129,2.054263566,0.17258883248730966,0.5271317829457365,NA,NA,NA,NA,NA,NA,NA,NA
Panicum effusium,1,5/12/2005,68,0.0555,11.4,0.498,427.11,26203.06748,237.65,0.0163,0.293693694,5/12/2005,13.3,21.3,0.74,31,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312,0.3337,0.3797,0.7134,0.437342304,0.32543397698459137,0.46776002242781045,NA,NA,NA,NA,NA,NA,NA,NA
Panicum effusium,2,5/12/2005,22,0.1132,15.4,0.478,693.98,21754.85893,339.66,0.0319,0.28180212,5/12/2005,21.6,37.8,0.68,156,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.662,1.617,1.642,3.259,0.816814974,0.27309576085120757,0.4961644676281068,NA,NA,NA,NA,NA,NA,NA,NA
Panicum effusium,3,5/12/2005,20,0.0253,4.95,0.418,162.92,17708.69565,107.97,0.0092,0.363636364,5/12/2005,21.5,24.8,0.67,60,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388,0.3276,0.7235,1.0511,0.369137094,0.22764227642276424,0.31167348492055946,NA,NA,NA,NA,NA,NA,NA,NA
Parentucellia latifolia,1,21/10/2005,13,0.0062,0.765,0.655,21.591,26988.75,24.897,8e-4,0.129032258,21/10/2005,9.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107,0.033,0.0437,0,NA,0.24485125858123566,NA,NA,NA,NA,NA,NA,NA,NA
Parentucellia latifolia,2,21/10/2005,30,0.0045,0.685,0.5,14.401,20572.85714,15.784,7e-4,0.155555556,21/10/2005,7.5,1.3,0.7,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.0069,0.0105,0.0174,0.091954023,0.3631578947368421,0.39655172413793105,NA,NA,NA,NA,NA,NA,NA,NA
Parentucellia latifolia,3,21/10/2005,14,0.0068,0.795,0.685,26.072,37245.71429,25.659,7e-4,0.102941176,21/10/2005,9,1.8,1.53,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102,0.0457,0.0307,0.0764,0.133507853,0.5277136258660508,0.5981675392670157,NA,NA,NA,NA,NA,NA,NA,NA
Petrorhagia nanteuilii,1,13/10/2005,22,0.007,1.9,0.162,28.645,19096.66667,40.019,0.0015,0.214285714,21/10/2005,10,1.5,0.98,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0062,0.0048,0.0329,0.0377,0.164456233,0.10933940774487472,0.1273209549071618,NA,NA,NA,NA,NA,NA,NA,NA
Petrorhagia nanteuilii,2,13/10/2005,38,0.0112,2.7,0.196,45.756,19893.91304,61.85,0.0023,0.205357143,21/10/2005,12.9,3,1.5,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225,0.0268,0.0772,0.104,0.216346154,0.21185770750988142,0.2576923076923077,NA,NA,NA,NA,NA,NA,NA,NA
Petrorhagia nanteuilii,3,15/10/2005,26,0.0103,1.7,0.239,30.731,19206.875,36.388,0.0016,0.155339806,24/10/2005,13.2,2.3,1.22,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0068,0.0197,0.0353,0.055,0.123636364,0.3187702265372168,0.35818181818181816,NA,NA,NA,NA,NA,NA,NA,NA
Petrorhagia nanteuilii,4,15/10/2005,54,0.0051,2,0.123,23.864,23864,42.165,0.001,0.196078431,24/10/2005,11.3,1.6,0.9,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0072,0.0092,0.0365,0.0457,0.157549234,0.1739130434782609,0.2013129102844639,NA,NA,NA,NA,NA,NA,NA,NA
Petrorhagia nanteuilii,5,17/10/2005,60,0.0061,1.8,0.16,24.638,16425.33333,37.508,0.0015,0.245901639,27/10/2005,33.5,20.3,2.82,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.2817,0.637,0.9187,0.059867204,0.2893088220191024,0.3066289321867857,NA,NA,NA,NA,NA,NA,NA,NA
Plantago varia,1,27/09/2005,61,0.3619,8.4,1.4,635.27,11243.71681,198.01,0.0565,0.156120475,27/09/2005,5.4,6.2,4.97,1,yes,0.3117,332.19,1089.3,0.05,0.160410651,2.09814,52.3535,1047,3.3393,10.4907,0.0639,0.168,53,100,0.099737533,0.292,0.204,0,0.204,1.431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantago varia,2,27/09/2005,58,0.1913,4.2,1.6,357.44,13189.6679,102.71,0.0271,0.141662311,27/09/2005,7.4,5.2,4.94,1,yes,0.2004,275.04,1049,0.0346,0.172654691,2.508901734,50.9898,1474,2.7632,8.6808,0.0545,0.118,55,133,0.179461615,0.682,0.098,0,0.098,6.959183673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantago varia,3,27/09/2005,69,0.2575,6.4,1.4,526.41,13637.56477,152.5,0.0386,0.149902913,27/09/2005,7.4,6.5,5.73,1,yes,0.4027,381.79,1299.7,0.0588,0.146014403,2.049217687,62.7797,1068,3.8354,12.0494,0.0613,0.185,52,87,0.119466343,1.093,0.151,0,0.151,7.238410596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantago varia,4,27/09/2005,30,0.7852,12.2,2.1,1178.9,9694.901316,313.09,0.1216,0.154865003,27/09/2005,5.9,5.6,6.26,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273,0.203,0,0.203,1.344827586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
